2.200	Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.	In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.
1.500	submit, send to	cause to move; cause to be in a certain position or condition.
3.750	state of being unified	the state of being joined or united or linked.
3.000	(Cause to) become different or aquire a          different character, possibly during development.	become distinct and acquire a different character.
3.500	an objective or goal	the goal intended to be attained (and which is believed to be attainable).
3.500	seize and take captive; take or gain possession of something	take possession of by force, as after an invasion.
3.250	give, dedicate, pledge	give entirely to a specific person, activity, or cause.
4.000	decide a specific time for an event	make a schedule; plan the time and place for events.
4.750	value a thing or course of action more highly than another	like better; value more highly.
3.750	give something for a cause	give to a charity or good cause.
3.750	furnish with a guideline	furnish with rubrics or regulate by rubrics.
2.500	a social entreaty, as courtship or pleading	a petition or appeal made to a person of superior status or rank.
2.250	fail in strength or health and cease to funtion	break down, literally or metaphorically.
3.667	reply verbally or in written form to a question, comment, letter, or speech	react verbally.
3.750	a slight cut in a physical surface	a slight surface cut (especially a notch that is made to keep a tally).
3.250	cause something to be the case	cause to move; cause to be in a certain position or condition.
4.000	a state of confinement in a small space	the act of forcing yourself (or being forced) into or through a restricted space.
4.000	state or explain the meaning	give a definition for the meaning of a word.
1.250	cause animals to move	pursue for food or sport (as of wild animals).
4.500	be against, resist	act against or in opposition to.
4.250	a quantity of money added to a bank account	money deposited in a bank or some similar institution.
3.250	cause to come into existence; create	bring into being.
2.500	Performance, routine	a short theatrical performance that is part of a longer program.
4.250	people assembled together in a rhythmic movement	a party of people assembled for dancing.
3.000	a computer server	(computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network.
2.250	forbid, prohibit	forbid the public distribution of ( a movie or a newspaper).
3.000	computer text files	(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters.
2.250	a speech act of acknowledging gratitude for something	an acknowledgment of appreciation.
3.333	a state of pretending to be someone, something else	an outward semblance that misrepresents the true nature of something.
2.750	Become widespread as an idea or feeling.	cause to become widely known.
0.000	connect with; reach a target or goal	perceive with the senses quickly, suddenly, or momentarily.
4.750	income collected as tax by a government	government income due to taxation.
2.000	be the deciding factor in a state of affairs or an outcome	shape or influence; give direction to.
3.000	end	put an end to.
4.500	a region allocated to hold something	the particular portion of space occupied by something.
0.750	acknowledge a contribution or cause	have trust in; trust in the truth or veracity of.
2.000	arrangement	logical or comprehensible arrangement of separate elements.
3.750	system of arrangement	an arrangement scheme.
3.750	close within bounds; deprive of freedom	to close within bounds, limit or hold back from movement.
4.750	to collect, acquire or gather	get or gather together.
0.500	deliver a formal talk or reprimand at length	censure severely or angrily.
5.000	a pair of mated people, e.g., married	a pair of people who live together.
4.750	rot; become unfit for consumption	become unfit for consumption or use.
3.250	lock with one another	become engaged or intermeshed with one another.
4.500	take vows, join or allow to join a religious order	take vows, as in religious order.
4.750	activity of selling	the general activity of selling.
4.500	give out, allow to have	allow to have.
4.750	secondary public school, grades 9-12	a public secondary school usually including grades 9 through 12.
3.000	Benjamin Rush, physician and American Revolutionary leader.	physician and American Revolutionary leader; signer of the Declaration of Independence (1745-1813).
2.500	luggage compartment of a car	British term for the luggage compartment in a car.
4.500	have a monopoly of; control fully	have or exploit a monopoly of.
3.750	reduce to a simpler molecular compound	reduce (petroleum) to a simpler compound by cracking.
2.500	cause to be interested	attract; cause to be enamored.
3.500	To remain emotionally or intellectually          attached without necessary physical contact.	to remain emotionally or intellectually attached.
4.750	The act of transporting goods commerically at rates cheaper than express rates.	transporting goods commercially at rates cheaper than express rates.
4.500	(An occurance of) the preservation or management of natural resources.	the preservation and careful management of the environment and of natural resources.
4.000	remove the pod, husk or shell	fall out of the pod or husk.
4.000	abstain from eating or from certain foods	abstain from eating.
4.000	feel hot or painful, as if burning	feel hot or painful.
4.750	(cause to) return after being refused	come back after being refused.
4.250	a loss of function	loss of ability to function normally.
3.500	administrator, one who controls resources	someone who controls resources and expenditures.
3.750	a stovetop, cooking appliance	a kitchen appliance used for cooking food.
4.500	rinse one's mouth with mouthwash, gargle	rinse one's mouth and throat with mouthwash.
4.000	a quantity that is an approximate calculation	an approximate calculation of quantity or degree or worth.
4.000	turn on an axis; spin	turn on or around an axis or a center.
5.000	marriage offer	an offer of marriage.
3.500	Try to gain favor by flattering or showing    submission or fear.	show submission or fear.
4.250	the public submission of a legal record	the entering of a legal document into the public record.
4.000	Shrivel, wither, or mature imperfectly, as of a flower.	shrivel or wither or mature imperfectly.
4.250	have faith in, bet on	have faith or confidence in.
4.250	burst into flames (telic)	start to burn or burst into flames.
4.500	The cognitive processes and capacity to remember.	the cognitive processes whereby past experience is remembered.
4.000	mechanism that controls the water level in a section of canal	enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it.
5.000	an onerous worry or concern	an onerous or difficult concern.
5.000	someone or something that is the agent of fulfilling desired expectations	someone (or something) on which expectations are centered.
3.333	a sharp side of an object	a sharp side formed by the intersection of two surfaces of an object.
2.750	the forceful hit of a ball	hitting a golf ball off of a tee with a driver.
3.500	Fine powdery material; the remains of something destroyed or broken up.	the remains of something that has been destroyed or broken up.
2.000	throw with force	utter with force; utter vehemently.
4.000	Treat a substance with some agent; add an    agent to.	treat with an agent; add (an agent) to.
3.500	pass through the esophagus	pass through the esophagus as part of eating or drinking.
4.750	move freely (usually within a bounded space)	cause to move or operate freely within a bounded space.
3.500	secrete or form water	secrete or form water, as tears or saliva.
4.000	the state of being in contact	the state of being connected.
3.500	a variant of a musical theme which employs notes of reduced duration from the original theme	the statement of a theme in notes of lesser duration (usually half the length of the original).
3.750	time to come	the time yet to come.
4.750	the legal state of owing money	the state of owing something (especially money).
4.500	a style and size of typeset	a specific size and style of type within a type family.
4.000	demand, ask for, or take as one's due	demand as being one's due or property; assert one's right or title to.
3.500	Cause to be distrusted or rejected; damage the reputation of.	damage the reputation of.
3.000	Give equal rights to, as of the right to vote.	give equal rights to; of women and minorities.
3.000	(cause to) lengthen or expand in time or some abstract realm	lengthen in time; cause to be or last longer.
4.750	a knapsack, bundle on the back	a bundle (especially one carried on the back).
4.250	a person who delivers information or goods	a person who conveys (carries or transmits).
4.250	having an intuitive understanding or appreciation of something	an intuitive understanding of something.
5.000	adherence to moral principles	adhering to moral principles.
5.000	 have sex with	have sexual intercourse with.
4.750	partake or provide a banquet	partake in a feast or banquet.
4.750	idolize/show devotion to	show devotion to (a deity).
5.000	make a ticking sound	make a clicking or ticking sound.
3.250	run or flow slowly	run or flow slowly, as in drops or in an unsteady stream.
4.500	Write a computer programme.	write a computer program.
5.000	a state of social order in conformance with existing law	a state of order in which events conform to the law.
4.500	An electronic storage device.	an electronic memory device.
4.250	a reference line used to align lettering	a light line that is used in lettering to help align the letters.
3.750	the quality of dedication, fixity of purpose	the trait of sincere and steadfast fixity of purpose.
4.000	Look furtively at something.	look furtively.
3.500	cast off, get rid of something	get rid of.
4.250	recover posession or get back again	get or find back; recover the use of.
4.750	a coefficient assigned to elements in a frequency distribution in order to indicate the relative importance of each element	(statistics) a coefficient assigned to elements of a frequency distribution in order to represent their relative importance.
4.000	(cause to) move around	cause to move round and round.
3.000	become due	become due for repayment.
3.500	Provide medical care for.	provide veterinary care for.
3.750	do over, make new	make new.
4.500	coat, cover, or treat the surface of	put a coat on; cover the surface of; furnish with a surface.
4.000	BASEBALL: strike out a batter	strike out (a batter), (of a pitcher).
3.250	Regain or make up for, as of a financial loss.	regain or make up for.
4.750	duplicate, match	duplicate or match.
4.250	indistinct vocal articulations	indistinct articulation.
4.000	the act of shoving something away	the act of applying force in order to move something away.
5.000	move or drive forcefully as if by a punch.	drive forcibly as if by a punch.
4.750	an intense surprise, often unpleasant	an unpleasant or disappointing surprise.
4.250	Make less emotionally hostile; win over          mentally or emotionally.	make less hostile; win over.
4.250	informal usage for a domestic cat, often young	informal terms referring to a domestic cat.
4.750	The act of sorting one thing from others.	sorting one thing from others.
4.000	the act of physically affixing or connecting things	the act of fastening things together.
4.000	the people who dwell in a camp	a group of people living together in a camp.
5.000	An unforseen development.	an unforeseen development.
3.000	bring into general popular/common use	cater to popular taste to make popular and present to the general public; bring into general or common use.
3.250	make impure; make radioactive	make impure.
4.750	a long, thin implement, usually made of wood	an implement consisting of a length of wood.
4.000	Formally reject or disavow a formerly held    belief; retract a statement.	formally reject or disavow a formerly held belief, usually under pressure.
2.250	(Cause to) to turn to the left side.	turn or go to the port or left side, of a ship.
3.750	Entail as a necessary accompaniment or result	impose, involve, or imply as a necessary accompaniment or result.
4.250	Physically attach to something.	fix to; attach.
4.750	assign to a particular task	assign to a specific task.
3.750	culminating event	be the culminating event.
4.750	act of constructing	the act of constructing something.
4.750	the primary information-processing component of a computer, of a microprocessor chip	(computer science) the part of a computer (a microprocessor chip) that does most of the data processing.
4.000	consider again, usually with a view to changing	consider again (a bill) that had been voted upon before, with a view to altering it.
3.500	cancel, reverse, annul	cancel, annul, or reverse an action or its effect.
4.500	define; determine essential qualities of	determine the essential quality of.
3.250	The pursuit and killing or capture of animals.	the pursuit and killing or capture of wild animals regarded as a sport.
3.500	manipulate the registers of a musical instrument	manipulate the registers of an organ.
3.750	move in an irregular course	move to and fro or from place to place usually in an irregular course.
4.000	the legal granting or bestowment of rights	the act of granting rights.
3.750	jolt of electrical current to the body	a reflex response to the passage of electric current through the body.
4.000	Become pregnant.	become pregnant; undergo conception.
3.750	the bestowing of a franchise, enfranchisment	the act of certifying or bestowing a franchise on.
3.750	act of distributing	the act of apportioning or distributing something.
4.500	The state of being more than satisfied or satiated.	the state of being more than full.
4.000	conscious subjective emotion or desire	the conscious subjective aspect of feeling or emotion.
3.750	The act of proposing someone as a candidate for something.	the condition of having been proposed as a suitable candidate for appointment or election.
4.000	to hunt snipe	hunt or shoot snipe.
3.500	hunt for hawks	hunt with hawks.
1.750	a continuous horizontal layer of brick	(construction) a layer of masonry.
3.750	a brief attempt at some endeavor	a usually brief attempt.
4.000	propagation of waves back from a surface	the phenomenon of a propagating wave (light or sound) being thrown back from a surface.
3.500	examine minutely; search diligently	examine minutely.
3.000	enjoy, be fond of or approve	be fond of.
5.000	a person under the guardianship or custody of another	a person who is under the protection or in the custody of another.
4.750	Strike or hit sharply, perhaps as in sport.	strike sharply, as in some sports.
5.000	Fly in or on a glider plane	fly in or as if in a glider plane.
4.750	one fourth of a year	a fourth part of a year; three months.
2.750	make an abstract thing tight or more restrictive	make tight or tighter.
4.500	provide (a person or group) with power or authority	provide with power and authority.
3.750	Run at a moderately swift pace, as for exercise.	run at a moderately swift pace.
4.750	Envelop completely; form a cover over.	form an impenetrable cover over.
4.250	mold for casting, setting concrete	a mold for setting concrete.
3.500	cause friction; wear away or erode	wear away or erode.
4.500	A feeling for something that is desired intensely.	something that is desired intensely.
4.250	put or store in a bottle	store (liquids or gases) in bottles.
4.000	Be a sign or indication of; have as a meaning.	be a sign or indication of.
4.250	the act of choosing, picking one among many	the act of choosing or selecting.
4.250	act of becoming distant, moving away from	the act of becoming more distant.
3.750	take in marriage; perform a marriage ceremony	take in marriage.
4.500	Skip, leap, or move up and down or sideways          as a manner of motion.	skip, leap, or move up and down or sideways.
3.250	a military fortification, stronghold	a stronghold.
3.250	the fashionable elite of a given community	the fashionable elite.
4.500	characteristic call of an animal	the characteristic utterance of an animal.
4.500	make or become more acute or intense	make more intense, stronger, or more marked.
4.250	A journey for some purpose.	a journey for some purpose (usually including the return).
4.000	Fake or falsify; control in a fraudulent manner.	manipulate in a fraudulent manner.
3.250	fruit cooked down with sugar, jam	fruit preserved by cooking with sugar.
4.000	the act of leading or guiding others	the activity of leading.
4.250	coating used as a repellant to moisture	a finishing coat applied to exclude moisture.
4.250	a person who cleans chimneys	someone who cleans soot from chimneys.
3.500	Shine intensely; emit a steady, even light    from a source.	emit a steady even light without flames.
3.500	behave in a certain way; have a specific effect or outcome	behave in a certain way.
4.500	communicate with a hiss	express or utter with a hiss.
3.750	a male bee whose function is to fertilize the queen	stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen.
3.750	a sporting match, boxing	a boxing or wrestling match.
4.500	cause to reproduce (plants or animals)	cause to procreate (animals).
4.750	The feeling of annoyance at being hindered or thwarted.	a feeling of annoyance at being hindered or criticized.
4.250	move along on wheels	move along on or as if on wheels or a wheeled vehicle.
3.750	[provide with a new or different resting place	provide with a new seat.
4.500	activity of extracting ore or other matter from the ground	the act of extracting ores or coal etc from the earth.
3.500	to interrupt, enter uninvited	enter uninvited.
4.000	A person or thing equal to another in value or significane.	a person or thing equal to another in value or measure or force or effect or significance etc.
3.750	a cause or source of harm	a cause of pain or injury or loss.
4.500	make (more) comprehensible	make clear and (more) comprehensible.
4.500	the state of being retained	the act of retaining something.
4.000	a problem, something wrong	a problem.
4.750	stretch out or over completely	stretch out completely.
2.500	continue to live, exist, or prosper	continue to live through hardship or adversity.
3.750	a caress with the lips	the act of caressing with the lips (or an instance thereof).
3.500	Provide with rails, as by laying.	lay with rails.
4.500	the close approach of one object to another	the motion of one object relative to another.
4.000	make a hole with a pointed tool	make a hole, especially with a pointed power or hand tool.
4.000	Fix (something old) with a new part; improve.	piece (something old) with a new part.
4.250	the act of  damaging something, causing breakage	the act of breaking something.
3.750	the ground level of a multi-storied building	the floor of a building that is at or nearest to the level of the ground around the building.
2.250	A quantity of something	a quantity of money.
3.000	a large room	the large room of a manor or castle.
4.500	leave out, omit, prevent from entering	prevent from entering; keep out.
4.000	Sniff at inquiringly.	sniff or smell inquiringly.
4.750	provide lodging for	provide housing for.
4.750	Change the purpose or functioning of a system.	change the inherent purpose or function of something.
4.667	provide with tools or items for a specific purpose	provide with (something) usually for a specific purpose.
4.000	gain points in a game; add up (numbers)	gain points in a game.
4.333	travel in front of, be first, precede	travel in front of; go in advance of others.
4.667	Remove by rubbing	remove by or as if by rubbing or erasing.
4.667	the hard upper part of the human nose	the hard ridge that forms the upper part of the nose.
4.333	make shine	make (a surface) shine.
4.250	recover, return to former state	return to a former condition.
4.000	remove the pod, husk or shell	remove the husks from.
4.250	speed up the process of	speed up the progress of; facilitate.
4.750	(cause to) swing and miss the third pitch, striking out	strike out by swinging and missing the pitch charged as the third.
3.750	Literally and quantifiably raise in social rank or status.	raise in rank, character, or status.
3.250	alter by chemical means, to make images.	make visible by means of chemical solutions.
3.500	highly infectious viral disease	an acute febrile highly contagious viral disease.
4.250	make a certain size or sort according to size	make to a size; bring to a suitable size.
4.000	Remove tree stumps from an area.	remove tree stumps from.
3.250	pass the tongue over, take up with the tongue	pass the tongue over.
5.000	a computer-generated visual image	an image that is generated by a computer.
4.000	do better in a competition; win	come out better in a competition, race, or conflict.
3.500	aerodynamic force that opposed gravity	the component of the aerodynamic forces acting on an airfoil that opposes gravity.
3.000	Start abruptly, ignite	start abruptly.
4.000	a local announcement made within a public broadcast	(broadcasting) a local announcement inserted into a network program.
4.000	making real or concrete	something that is made real or concrete.
4.000	Sound sharply or shrilly, as if stabbing.	sound sharply or shrilly.
4.000	the act of officially gaining entrance to somewhere	the act of admitting someone to enter.
4.000	spend time in prison	spend time in prison or in a labor camp.
4.750	hold, contain within	contain or hold; have within.
4.750	act of verbally informing	the act of informing by verbal report.
4.000	forcefully request	request urgently and forcefully.
4.500	the quality of dissimilarity	the quality of being unlike or dissimilar.
4.000	throw quickly, flick	throw quickly.
3.000	move to and fro around a particular point or points, remain near	move to and fro.
3.750	Put up with something or someone          unpleasant; show deference towards someone or some authority.	put up with something or somebody unpleasant.
3.750	the breakup or termination of a social relationship	the termination or disintegration of a relationship (between persons or nations).
5.000	destruction of a ship	destroy a ship.
3.500	The human act of making something new.	the act of starting something for the first time; introducing something new.
4.500	ride (a bicycle or motorcycle)	ride a motorcycle.
5.000	The principal activity that one does to earn money.	the principal activity in your life that you do to earn money.
4.750	maintain or preserve a particular condition, state, or activity	continue a certain state, condition, or activity.
3.750	a spoken or written reply to a question	a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation.
5.000	committee with supervisory powers	a committee having supervisory powers.
4.250	a section of a composition, textual or musical	a short section of a musical composition.
4.750	a gear for changing the motion of a machine to the opposite direction	the gears by which the motion of a machine can be reversed.
4.500	take a digestion-aiding walk after a meal	take a walk for one's health or to aid digestion, as after a meal.
3.750	forked form or shape	a part of a forked or branching shape.
4.750	insert or close with a plug	fill or close tightly with or as if with a plug.
4.000	incite some act of insubordination	incite, move, or persuade to some act of lawlessness or insubordination.
3.500	formally announce the termination of an agreement	announce the termination of, as of treaties.
4.000	beat or pound rapidly	cause to throb or beat rapidly.
4.000	Make a line or marks on a surface; copy by          following the lines of	make a mark or lines on a surface.
3.750	recite as a chant, intone	recite with musical intonation; recite as a chant or a psalm.
4.000	the ability of computers to exchange digital information between them and make use of it	(computer science) the ability to exchange and use information (usually in a large heterogeneous network made up of several local area networks).
4.500	act of applying force	the act of applying force suddenly.
5.000	the process of becoming less or smaller	a process of becoming smaller or shorter.
4.250	Be in command of; exercise authority or  control over.	exercise authoritative control or power over.
4.250	be a factor or play a role in something	be or play a part of or in.
4.500	an expanse of land	an extended area of land.
3.500	move an implement through with a circular motion, mix	move an implement through.
3.750	deprive of courage, hope, or optimism	deprive of courage or hope; take away hope from; cause to feel discouraged.
2.750	the armed forces	a force that is a branch of the armed forces.
2.750	Furnish with metal spurs.	furnish with spars.
3.250	Remove water from a substance.	remove water from.
3.250	Provide with rails, as by laying.	provide with rails.
4.500	make or be a summary	be a summary of.
3.750	be affected with smut or mildew	affect with smut or mildew, as of a crop such as corn.
3.000	Talk or behave amorously; have sex with.	talk or behave amorously, without serious intentions.
3.500	Excuse some minor social infraction; accept    an excuse for something.	accept an excuse for.
4.750	indicate, be signs or symptoms of	be a signal for or a symptom of.
3.500	a verbal or written request for access to something.	a verbal or written request for assistance or employment or admission to a school.
4.750	have a logical result	have as a logical consequence.
4.750	Travel on foot.	cross on foot.
4.500	the act of suction	the act of sucking.
4.250	A band of leather or rope made to identify animals.	a band of leather or rope that is placed around an animal's neck as a harness or to identify it.
4.750	Put a harness on.	put a harness.
4.750	Provide or equip specifically with furniture.	provide or equip with furniture.
4.750	To move (the head or body) quickly    downwards or away (from something).	to move (the head or body) quickly downwards or away.
5.000	reason or establish by deduction	reason by deduction; establish by deduction.
3.750	Make pregnant; fertilize and cause to grow.	fertilize and cause to grow.
5.000	find the solution to or understand the          meaning of	find the solution to (a problem or question) or understand the meaning of.
4.750	Move about in a confused or purposeless manner.	move about in a confused manner.
4.250	put up with something unpleasant	put up with something or somebody unpleasant.
5.000	A means or agency by which something is communicated.	a means or agency by which something is expressed or communicated.
5.000	take apart into constituent pieces	take apart into its constituent pieces.
5.000	A short theatrical program that is part of a longer program.	a short theatrical performance that is part of a longer program.
4.000	decree, issue an order	issue an order.
5.000	the termination, ending of a meeting	the termination of a meeting.
5.000	An indicator that orients one generally.	an indicator that orients you generally.
4.000	Increase the acoustic volume of.	increase the volume of.
5.000	open to members of all races and ethnic groups	open (a place) to members of all races and ethnic groups.
5.000	reduce to small pieces by pounding or abrading	reduce to small pieces or particles by pounding or abrading.
4.000	hit a fly (baseball)	hit a fly.
3.750	FISHING-exhaust by allowing to pull on the line	exhaust by allowing to pull on the line.
3.750	be or come into conflict	be incompatible; be or come into conflict.
3.250	Produce a phonemic click.	produce a click.
5.000	angle with a hook and line and draw through          water	angle with a hook and line drawn through the water.
5.000	the front face of a building	the face or front of a building.
5.000	make something more diverse or varied	make something more diverse and varied.
4.000	issue bonds on something	issue bonds on.
5.000	women's sleeveless undergarment	a woman's sleeveless undergarment.
3.500	Move oneself very fast.	move very fast.
4.000	Oppose or approach, as in hostility or competition	oppose, as in hostility or a competition.
3.750	make more complex or intricate	make more complex, intricate, or richer.
4.250	cause to be/show to be invalid	show to be invalid.
4.500	create a new entity by putting components or members together	create by putting components or members together.
4.750	the activity of providing supplies	the activity of supplying or providing something.
5.000	make or become brighter or lighter	make lighter or brighter.
5.000	actors in a play	the actors in a play.
5.000	take someone's soul into heaven	take up someone's soul into heaven.
5.000	Discipline in personal or social activities.	discipline in personal and social activities.
4.750	a person eating a meal, often in a restaurant	a person eating a meal (especially in a restaurant).
4.250	A sudden (emotional) outburst.	a sudden outburst.
4.000	make or become harder	make hard or harder.
5.000	the introductory portion of a story	the introductory section of a story.
3.750	work material with a tool	work with a tool.
4.500	make or become less strict or severe	make less severe or strict.
4.750	support by placing on or against something solid	support by placing against something solid or rigid.
5.000	Part, cease, or break association with (something).	part; cease or break association with.
5.000	have the financial means to obtain, buy, or do something	have the financial means to do something or buy something.
4.250	A list of candidates nominated by a political party to run for election.	a list of candidates nominated by a political party to run for election to public offices.
5.000	say, state, or perform again	to say, state, or perform again.
5.000	allow the passage of air	allow the passage of air through.
5.000	unite; merge with something already in existence	unite or merge with something already in existence.
5.000	use resources or materials	use up (resources or materials).
5.000	make or become harder	become hard or harder.
5.000	(Cause to) be firmly attached or closed.	cause to be firmly attached.
5.000	make or become wider or more extensive	become broader or wider or more extensive.
4.750	Unrestricted freedom to use something.	unrestricted freedom to use.
4.750	laying claim, the act of taking possession of, or power over, something.	the act of taking possession of or power over something.
4.750	give structure to	give a structure to.
5.000	mark with scars	mark with a scar.
5.000	(Baseball) Tag the base runner to get him out.	tag the base runner to get him out.
4.400	Be reflected as heat, light, or shock waves;.	be reflected as heat, sound, or light or shock waves.
4.800	a competitor most likely to win	a competitor thought likely to win.
4.600	make or become longer	become long or longer.
4.600	be on base at the end of an inning	to be on base at the end of an inning, of a player.
3.500	Either of the two categories (male or female) into which most organisms are divided, or key properties that distinguish the categories.	either of the two categories (male or female) into which most organisms are divided.
3.500	(science) The atomic weight of an element that has the same combining capacity as a given weight of another element.	the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen.
4.750	provide with a toggle	provide with a toggle or toggles.
4.250	(cause to) move back and forth or side to side	cause to move back and forth.
3.750	measure the depth of a body of water	measure the depth of (a body of water) with a sounding line.
5.000	make a loud noise, as an animal	make a loud noise, as of animal.
5.000	The act of coming to rest after a voyage.	the act of coming to land after a voyage.
5.000	join or bring together (two) objects, ideas, or people	bring two objects, ideas, or people together.
4.500	Make reference to something.	make reference to.
4.250	Behave violently, as if in a state of great    anger; break or tear violently.	behave violently, as if in state of a great anger.
4.750	Form a spiral or move in a spiral course.	move in a spiral or zigzag course.
4.250	a feeling of aversion, distaste, antipathy	a feeling of aversion or antipathy.
4.000	Release (gas or energy) as a result of a chemical reaction or physical decomposition (perhaps in a metaphorical sense)	release (gas or energy) as a result of a chemical reaction or physical decomposition.
4.000	overcome with amazement; flabbergast	overcome with amazement.
3.750	behave in a condescending manner	behave in a patronizing and condescending manner.
4.000	take into one's family or group	take into one's family.
5.000	(Contract bridge) the highest bid becomes the contract setting in the number of tricks that the bidder must make.	(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make.
5.000	go on a campaign or off to war	go on a campaign; go off to war.
4.250	react, or respond to a call, command, or stimulus	react to a stimulus or command.
5.000	(Literally) sound with resonance.	sound with resonance.
4.750	an injury to the skin caused by radiation, heat or chemicals	an injury caused by exposure to heat or chemicals or radiation.
4.250	make a causal or logical connection; group together	make a logical or causal connection.
5.000	Apply conditioner to make smooth and shiny.	apply conditioner to in order to make smooth and shiny.
5.000	exercise or have power of memory	exercise, or have the power of, memory.
4.750	A feeling or state of extreme anger.	a state of extreme anger.
5.000	Wrinkled, crumpled, or creased.	become wrinkled or crumpled or creased.
5.000	Admit to testing/proof	admit to testing or proof.
5.000	an accounting period of 12 months	any accounting period of 12 months.
4.333	praise the qualities in order to sell or promote	make a plug for; praise the qualities or in order to sell or promote.
3.750	relative darkness of a color	relative darkness or lightness of a color.
4.250	Strike heavily, especially with a fist or implement.	strike heavily, especially with the fist or a bat.
4.750	Make receptive or willing toward an action or belief.	make receptive or willing towards an action or attitude or belief.
5.000	open again, open anew	open again or anew.
4.000	A conceptual formulation; a way of conceiving something.	a way of conceiving something.
5.000	heat metal prior to working it	heat a metal prior to working it.
4.500	feel the strong need to eat	feel the need to eat.
3.667	be in direct physical contact with	be in direct physical contact with; make contact.
3.667	Give suck to; receive suck.	give suck to.
4.333	covering for a bed	decorative cover for a bed.
5.000	grip, penetrate or tear off with or as if with the teeth or jaws	to grip, cut off, or tear with or as if with the teeth or jaws.
4.500	play a stringed instrument with a bow	play on a string instrument with a bow.
4.000	Doubt or an impression that something might    not be the case.	an impression that something might be the case.
4.750	A successful throw or try for a point after a touchdown.	a successful free throw or try for point after a touchdown.
4.500	Express audibly; utter sounds (not          necessarily words); indicate.	express audibly; utter sounds (not necessarily words).
5.000	hold back in uncertainty or unwillingness	pause or hold back in uncertainty or unwillingness.
5.000	a serving of a beverage	a single serving of a beverage.
4.500	Give an incentive or reason for action.	give an incentive for action.
5.000	the day before today	the day immediately before today.
4.333	take or capture by force or authority	take or capture by force.
5.000	(Medicine) Apply a plaster cast to.	apply a plaster cast to.
5.000	interfere with someone else's activity	interfere in someone else's activity.
5.000	Assign a new time for an event	assign a new time and place for an event.
4.750	Value measured by what must be given or done to obtain something.	value measured by what must be given or done or undergone to obtain something.
4.500	touch or hold with the hands	touch, lift, or hold with the hands.
5.000	scrape or rub to relieve itching	scrape or rub as if to relieve itching.
4.750	give a detailed account of	narrate or give a detailed account of.
5.000	Any activity that acquires a person's attention.	any activity that occupies a person's attention.
5.000	cause to become awake or alert	cause to become awake or conscious.
4.500	provide a feast or banquet	provide a feast or banquet for.
5.000	The act of hindering someone's plans or efforts.	an act of hindering someone's plans or efforts.
4.250	Fool or hoax (someone).	fool or hoax.
4.750	raising the stakes or bet of a game by a factor of 2	raising the stakes in a card game by a factor of 2.
4.500	The (period of) control of a country by military forces of a foreign power.	the control of a country by military forces of a foreign power.
5.000	(computer science) the occurence of an incorrect result produced by a computer.	(computer science) the occurrence of an incorrect result produced by a computer.
4.000	give pleasure, satifaction, or happiness; be pleasing to	give pleasure to or be pleasing to.
5.000	the soft padding under a saddle	a soft pad placed under a saddle.
5.000	elecate or idealize in allusion to Christ's          transfiguration	elevate or idealize, in allusion to Christ's transfiguration.
4.750	inability of the heart to pump blood to sustain life functions	inability of the heart to pump enough blood to sustain normal bodily functions.
4.000	cause to vibrate in a different pattern	cause to vibrate in a definite pattern.
4.500	warn or call to a sense of preparedness	warn or arouse to a sense of danger or call to a state of preparedness.
4.500	Adapt oneself to new or different conditions.	adapt or conform oneself to new or different conditions.
4.500	move faster, or cause to move faster	cause to move faster.
5.000	Supply food ready to eat, as for parties          and banquets.	supply food ready to eat; for parties and banquets.
4.000	express protest or dissent, raise an objection	express or raise an objection or protest or criticism or express dissent.
4.250	clear mucus from one's throat	clear mucus or food from one's throat.
5.000	pass into a state or condition	pass into a specified state or condition.
3.750	add embellishments (to medieval manuscripts)	add embellishments and paintings to (medieval manuscripts).
4.750	make or become thick	make thick or thicker.
4.750	move or execute very quickly or hastily	run or move very quickly or hastily.
4.000	hurt, feel physical pain	feel physical pain.
4.250	tell or spread rumors; say	tell or spread rumors.
4.250	throw with force or recklessness; cast away	throw with force or recklessness.
4.500	return to in thought or speech	return in thought or speech to something.
4.250	Try to cure by special care    or treatment, of an illness or injury; treat carefully.	try to cure by special care of treatment, of an illness or injury.
4.250	a sweeping cut with a sharp instrument	a strong sweeping cut made with a sharp instrument.
4.500	Any address at which one dwells more than temporarily.	any address at which you dwell more than temporarily.
4.750	BOTANY -- the usually underground organ of a plant that lacks buds or leaves or nodes, which absorbs water and mineral salts; usually it anchors the plant to the ground.	(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground.
3.750	Reproduce or make an exact copy of; make,    do, or perform again.	reproduce or make an exact copy of.
4.500	pass (a thread) through or into,on or as if on a    string	thread on or as if on a string.
